Ratio,Run,Phase,Tree,Metric,Value
20,8,Delete,RB Tree,Path,715
20,8,Delete,WAVL Tree,Path,723
20,9,Insert,RB Tree,Rotations,5906
20,9,Insert,WAVL Tree,Rotations,7033
20,9,Insert,RB Tree,Path,10222
20,9,Insert,WAVL Tree,Path,17769
20,9,Delete,RB Tree,Rotations,626
20,9,Delete,WAVL Tree,Rotations,634
20,9,Delete,RB Tree,Path,705
20,9,Delete,WAVL Tree,Path,704
20,10,Insert,RB Tree,Rotations,5794
20,10,Insert,WAVL Tree,Rotations,7045
20,10,Insert,RB Tree,Path,10316
20,10,Insert,WAVL Tree,Path,17938
20,10,Delete,RB Tree,Rotations,649
20,10,Delete,WAVL Tree,Rotations,590
20,10,Delete,RB Tree,Path,737
20,10,Delete,WAVL Tree,Path,788
20,11,Insert,RB Tree,Rotations,5800
20,11,Insert,WAVL Tree,Rotations,6913
20,11,Insert,RB Tree,Path,10280
20,11,Insert,WAVL Tree,Path,17794
20,11,Delete,RB Tree,Rotations,671
20,11,Delete,WAVL Tree,Rotations,619
20,11,Delete,RB Tree,Path,725
20,11,Delete,WAVL Tree,Path,746
20,12,Insert,RB Tree,Rotations,5769
20,12,Insert,WAVL Tree,Rotations,6879
20,12,Insert,RB Tree,Path,10250
20,12,Insert,WAVL Tree,Path,17752
20,12,Delete,RB Tree,Rotations,617
20,12,Delete,WAVL Tree,Rotations,591
20,12,Delete,RB Tree,Path,699
20,12,Delete,WAVL Tree,Path,744
20,13,Insert,RB Tree,Rotations,5862
20,13,Insert,WAVL Tree,Rotations,7056
20,13,Insert,RB Tree,Path,10274
20,13,Insert,WAVL Tree,Path,17810
20,13,Delete,RB Tree,Rotations,647
20,13,Delete,WAVL Tree,Rotations,593
20,13,Delete,RB Tree,Path,707
20,13,Delete,WAVL Tree,Path,736
20,14,Insert,RB Tree,Rotations,5764
20,14,Insert,WAVL Tree,Rotations,6932
20,14,Insert,RB Tree,Path,10232
20,14,Insert,WAVL Tree,Path,17833
20,14,Delete,RB Tree,Rotations,705
20,14,Delete,WAVL Tree,Rotations,689
20,14,Delete,RB Tree,Path,756
20,14,Delete,WAVL Tree,Path,699
20,15,Insert,RB Tree,Rotations,5882
20,15,Insert,WAVL Tree,Rotations,6999
20,15,Insert,RB Tree,Path,10240
20,15,Insert,WAVL Tree,Path,17809
20,15,Delete,RB Tree,Rotations,699
20,15,Delete,WAVL Tree,Rotations,661
20,15,Delete,RB Tree,Path,722
20,15,Delete,WAVL Tree,Path,696
20,16,Insert,RB Tree,Rotations,5903
20,16,Insert,WAVL Tree,Rotations,7039
20,16,Insert,RB Tree,Path,10336
20,16,Insert,WAVL Tree,Path,17825
20,16,Delete,RB Tree,Rotations,698
20,16,Delete,WAVL Tree,Rotations,637
20,16,Delete,RB Tree,Path,751
20,16,Delete,WAVL Tree,Path,669
20,17,Insert,RB Tree,Rotations,5934
20,17,Insert,WAVL Tree,Rotations,7062
20,17,Insert,RB Tree,Path,10118
20,17,Insert,WAVL Tree,Path,17879
20,17,Delete,RB Tree,Rotations,666
20,17,Delete,WAVL Tree,Rotations,628
20,17,Delete,RB Tree,Path,702
20,17,Delete,WAVL Tree,Path,703
20,18,Insert,RB Tree,Rotations,5859
20,18,Insert,WAVL Tree,Rotations,6961
20,18,Insert,RB Tree,Path,10310
20,18,Insert,WAVL Tree,Path,17831
20,18,Delete,RB Tree,Rotations,629
20,18,Delete,WAVL Tree,Rotations,614
20,18,Delete,RB Tree,Path,699
20,18,Delete,WAVL Tree,Path,724
20,19,Insert,RB Tree,Rotations,5910
20,19,Insert,WAVL Tree,Rotations,7040
20,19,Insert,RB Tree,Path,10216
20,19,Insert,WAVL Tree,Path,17834
20,19,Delete,RB Tree,Rotations,674
20,19,Delete,WAVL Tree,Rotations,607
20,19,Delete,RB Tree,Path,736
20,19,Delete,WAVL Tree,Path,790
20,20,Insert,RB Tree,Rotations,5782
20,20,Insert,WAVL Tree,Rotations,6925
20,20,Insert,RB Tree,Path,10268
20,20,Insert,WAVL Tree,Path,17857
20,20,Delete,RB Tree,Rotations,695
20,20,Delete,WAVL Tree,Rotations,654
20,20,Delete,RB Tree,Path,721
20,20,Delete,WAVL Tree,Path,745
20,21,Insert,RB Tree,Rotations,5744
