Ratio,Run,Phase,Tree,Metric,Value_ns
10,40,Delete,WAVL Tree,Latency,1008
10,40,Traversal,RB Tree,Latency,73586375
10,40,Traversal,WAVL Tree,Latency,73021990
10,41,Insert,RB Tree,Latency,1003
10,41,Insert,WAVL Tree,Latency,1044
10,41,Lookup,RB Tree,Latency,1007
10,41,Lookup,WAVL Tree,Latency,1027
10,41,Delete,RB Tree,Latency,1008
10,41,Delete,WAVL Tree,Latency,1011
10,41,Traversal,RB Tree,Latency,71959012
10,41,Traversal,WAVL Tree,Latency,71465028
10,42,Insert,RB Tree,Latency,1002
10,42,Insert,WAVL Tree,Latency,1041
10,42,Lookup,RB Tree,Latency,1009
10,42,Lookup,WAVL Tree,Latency,1031
10,42,Delete,RB Tree,Latency,1005
10,42,Delete,WAVL Tree,Latency,1009
10,42,Traversal,RB Tree,Latency,71973819
10,42,Traversal,WAVL Tree,Latency,71231620
10,43,Insert,RB Tree,Latency,1002
10,43,Insert,WAVL Tree,Latency,1039
10,43,Lookup,RB Tree,Latency,1009
10,43,Lookup,WAVL Tree,Latency,1030
10,43,Delete,RB Tree,Latency,1009
10,43,Delete,WAVL Tree,Latency,1016
10,43,Traversal,RB Tree,Latency,72149189
10,43,Traversal,WAVL Tree,Latency,74211521
10,44,Insert,RB Tree,Latency,1006
10,44,Insert,WAVL Tree,Latency,1046
10,44,Lookup,RB Tree,Latency,1007
10,44,Lookup,WAVL Tree,Latency,1028
10,44,Delete,RB Tree,Latency,1008
10,44,Delete,WAVL Tree,Latency,1016
10,44,Traversal,RB Tree,Latency,74130017
10,44,Traversal,WAVL Tree,Latency,73856659
10,45,Insert,RB Tree,Latency,1002
10,45,Insert,WAVL Tree,Latency,1041
10,45,Lookup,RB Tree,Latency,1004
10,45,Lookup,WAVL Tree,Latency,1032
10,45,Delete,RB Tree,Latency,1006
10,45,Delete,WAVL Tree,Latency,1010
10,45,Traversal,RB Tree,Latency,73334738
10,45,Traversal,WAVL Tree,Latency,73085406
10,46,Insert,RB Tree,Latency,1001
10,46,Insert,WAVL Tree,Latency,1039
10,46,Lookup,RB Tree,Latency,1006
10,46,Lookup,WAVL Tree,Latency,1025
10,46,Delete,RB Tree,Latency,1008
10,46,Delete,WAVL Tree,Latency,1013
10,46,Traversal,RB Tree,Latency,75866960
10,46,Traversal,WAVL Tree,Latency,77221174
10,47,Insert,RB Tree,Latency,999
10,47,Insert,WAVL Tree,Latency,1043
10,47,Lookup,RB Tree,Latency,1007
10,47,Lookup,WAVL Tree,Latency,1029
10,47,Delete,RB Tree,Latency,1008
10,47,Delete,WAVL Tree,Latency,1009
10,47,Traversal,RB Tree,Latency,73436497
10,47,Traversal,WAVL Tree,Latency,73074931
10,48,Insert,RB Tree,Latency,1004
10,48,Insert,WAVL Tree,Latency,1042
10,48,Lookup,RB Tree,Latency,1008
10,48,Lookup,WAVL Tree,Latency,1025
10,48,Delete,RB Tree,Latency,1011
10,48,Delete,WAVL Tree,Latency,1012
10,48,Traversal,RB Tree,Latency,73209723
10,48,Traversal,WAVL Tree,Latency,72785230
10,49,Insert,RB Tree,Latency,1001
10,49,Insert,WAVL Tree,Latency,1043
10,49,Lookup,RB Tree,Latency,1004
10,49,Lookup,WAVL Tree,Latency,1028
10,49,Delete,RB Tree,Latency,1008
10,49,Delete,WAVL Tree,Latency,1013
10,49,Traversal,RB Tree,Latency,71752703
10,49,Traversal,WAVL Tree,Latency,71676017
10,50,Insert,RB Tree,Latency,1005
10,50,Insert,WAVL Tree,Latency,1045
10,50,Lookup,RB Tree,Latency,1006
10,50,Lookup,WAVL Tree,Latency,1028
10,50,Delete,RB Tree,Latency,1006
10,50,Delete,WAVL Tree,Latency,1013
10,50,Traversal,RB Tree,Latency,74628750
10,50,Traversal,WAVL Tree,Latency,73640921
20,1,Insert,RB Tree,Latency,1007
20,1,Insert,WAVL Tree,Latency,1045
20,1,Lookup,RB Tree,Latency,1007
20,1,Lookup,WAVL Tree,Latency,1029
20,1,Delete,RB Tree,Latency,1004
20,1,Delete,WAVL Tree,Latency,1005
20,1,Traversal,RB Tree,Latency,65871262
20,1,Traversal,WAVL Tree,Latency,65577652
20,2,Insert,RB Tree,Latency,1004
20,2,Insert,WAVL Tree,Latency,1043
20,2,Lookup,RB Tree,Latency,1009
20,2,Lookup,WAVL Tree,Latency,1024
20,2,Delete,RB Tree,Latency,1007
20,2,Delete,WAVL Tree,Latency,1011
20,2,Traversal,RB Tree,Latency,65050632
20,2,Traversal,WAVL Tree,Latency,64924011
20,3,Insert,RB Tree,Latency,1003
20,3,Insert,WAVL Tree,Latency,1043
20,3,Lookup,RB Tree,Latency,1008
20,3,Lookup,WAVL Tree,Latency,1024
20,3,Delete,RB Tree,Latency,1007
20,3,Delete,WAVL Tree,Latency,1010
20,3,Traversal,RB Tree,Latency,66860978
20,3,Traversal,WAVL Tree,Latency,68233771
20,4,Insert,RB Tree,Latency,1004
20,4,Insert,WAVL Tree,Latency,1044
20,4,Lookup,RB Tree,Latency,1005
20,4,Lookup,WAVL Tree,Latency,1028
