Ratio,Run,Tree,Metric,Value
20,17,WAVL Tree,Branch Misses,36396700
20,18,RB Tree,L1 Misses,30075694
20,18,RB Tree,LLC Misses,
20,18,RB Tree,Branch Misses,33976757
20,18,WAVL Tree,L1 Misses,31246549
20,18,WAVL Tree,LLC Misses,
20,18,WAVL Tree,Branch Misses,36408696
20,19,RB Tree,L1 Misses,30974730
20,19,RB Tree,LLC Misses,
20,19,RB Tree,Branch Misses,33946022
20,19,WAVL Tree,L1 Misses,31992212
20,19,WAVL Tree,LLC Misses,
20,19,WAVL Tree,Branch Misses,36409221
20,20,RB Tree,L1 Misses,31265527
20,20,RB Tree,LLC Misses,
20,20,RB Tree,Branch Misses,33958847
20,20,WAVL Tree,L1 Misses,40949779
20,20,WAVL Tree,LLC Misses,
20,20,WAVL Tree,Branch Misses,36412939
20,21,RB Tree,L1 Misses,30788027
20,21,RB Tree,LLC Misses,
20,21,RB Tree,Branch Misses,33975179
20,21,WAVL Tree,L1 Misses,31016694
20,21,WAVL Tree,LLC Misses,
20,21,WAVL Tree,Branch Misses,36400097
20,22,RB Tree,L1 Misses,30632799
20,22,RB Tree,LLC Misses,
20,22,RB Tree,Branch Misses,33973368
20,22,WAVL Tree,L1 Misses,30923697
20,22,WAVL Tree,LLC Misses,
20,22,WAVL Tree,Branch Misses,36370165
20,23,RB Tree,L1 Misses,30847562
20,23,RB Tree,LLC Misses,
20,23,RB Tree,Branch Misses,33927782
20,23,WAVL Tree,L1 Misses,31597483
20,23,WAVL Tree,LLC Misses,
20,23,WAVL Tree,Branch Misses,36384892
20,24,RB Tree,L1 Misses,31848031
20,24,RB Tree,LLC Misses,
20,24,RB Tree,Branch Misses,33924666
20,24,WAVL Tree,L1 Misses,32101394
20,24,WAVL Tree,LLC Misses,
20,24,WAVL Tree,Branch Misses,36409389
20,25,RB Tree,L1 Misses,31570227
20,25,RB Tree,LLC Misses,
20,25,RB Tree,Branch Misses,33958342
20,25,WAVL Tree,L1 Misses,31026432
20,25,WAVL Tree,LLC Misses,
20,25,WAVL Tree,Branch Misses,36414714
20,26,RB Tree,L1 Misses,31013023
20,26,RB Tree,LLC Misses,
20,26,RB Tree,Branch Misses,33937393
20,26,WAVL Tree,L1 Misses,31786870
20,26,WAVL Tree,LLC Misses,
20,26,WAVL Tree,Branch Misses,36384637
20,27,RB Tree,L1 Misses,30872337
20,27,RB Tree,LLC Misses,
20,27,RB Tree,Branch Misses,33940012
20,27,WAVL Tree,L1 Misses,30922184
20,27,WAVL Tree,LLC Misses,
20,27,WAVL Tree,Branch Misses,36394663
20,28,RB Tree,L1 Misses,31271723
20,28,RB Tree,LLC Misses,
20,28,RB Tree,Branch Misses,33959395
20,28,WAVL Tree,L1 Misses,31114909
20,28,WAVL Tree,LLC Misses,
20,28,WAVL Tree,Branch Misses,36378148
20,29,RB Tree,L1 Misses,31022525
20,29,RB Tree,LLC Misses,
20,29,RB Tree,Branch Misses,33946766
20,29,WAVL Tree,L1 Misses,31296412
20,29,WAVL Tree,LLC Misses,
20,29,WAVL Tree,Branch Misses,36417063
20,30,RB Tree,L1 Misses,30796148
20,30,RB Tree,LLC Misses,
20,30,RB Tree,Branch Misses,33976391
20,30,WAVL Tree,L1 Misses,31525012
20,30,WAVL Tree,LLC Misses,
20,30,WAVL Tree,Branch Misses,36426071
20,31,RB Tree,L1 Misses,30672583
20,31,RB Tree,LLC Misses,
20,31,RB Tree,Branch Misses,33967630
20,31,WAVL Tree,L1 Misses,30966835
20,31,WAVL Tree,LLC Misses,
20,31,WAVL Tree,Branch Misses,36345798
20,32,RB Tree,L1 Misses,31113288
20,32,RB Tree,LLC Misses,
20,32,RB Tree,Branch Misses,33991492
20,32,WAVL Tree,L1 Misses,32000873
20,32,WAVL Tree,LLC Misses,
20,32,WAVL Tree,Branch Misses,36387967
20,33,RB Tree,L1 Misses,31386816
20,33,RB Tree,LLC Misses,
20,33,RB Tree,Branch Misses,33967503
20,33,WAVL Tree,L1 Misses,30997161
20,33,WAVL Tree,LLC Misses,
20,33,WAVL Tree,Branch Misses,36354820
20,34,RB Tree,L1 Misses,31395100
20,34,RB Tree,LLC Misses,
20,34,RB Tree,Branch Misses,33951657
20,34,WAVL Tree,L1 Misses,31191185
20,34,WAVL Tree,LLC Misses,
20,34,WAVL Tree,Branch Misses,36382131
20,35,RB Tree,L1 Misses,31235576
20,35,RB Tree,LLC Misses,
20,35,RB Tree,Branch Misses,33947971
20,35,WAVL Tree,L1 Misses,31050901
20,35,WAVL Tree,LLC Misses,
20,35,WAVL Tree,Branch Misses,36383786
20,36,RB Tree,L1 Misses,30811923
20,36,RB Tree,LLC Misses,
20,36,RB Tree,Branch Misses,33930881
20,36,WAVL Tree,L1 Misses,30866125
20,36,WAVL Tree,LLC Misses,
20,36,WAVL Tree,Branch Misses,36374697
20,37,RB Tree,L1 Misses,31085003
20,37,RB Tree,LLC Misses,
