Mode,Ratio,Run,Tree,Metric,Value
seq,40,15,RB Tree,LLC Misses,
seq,40,15,RB Tree,Branch Misses,22684422
seq,40,15,WAVL Tree,L1 Misses,3372037
seq,40,15,WAVL Tree,LLC Misses,
seq,40,15,WAVL Tree,Branch Misses,26095198
seq,40,16,RB Tree,L1 Misses,3552701
seq,40,16,RB Tree,LLC Misses,
seq,40,16,RB Tree,Branch Misses,22587969
seq,40,16,WAVL Tree,L1 Misses,3335594
seq,40,16,WAVL Tree,LLC Misses,
seq,40,16,WAVL Tree,Branch Misses,26091919
seq,40,17,RB Tree,L1 Misses,3543594
seq,40,17,RB Tree,LLC Misses,
seq,40,17,RB Tree,Branch Misses,22596158
seq,40,17,WAVL Tree,L1 Misses,3395156
seq,40,17,WAVL Tree,LLC Misses,
seq,40,17,WAVL Tree,Branch Misses,26118123
seq,40,18,RB Tree,L1 Misses,3443374
seq,40,18,RB Tree,LLC Misses,
seq,40,18,RB Tree,Branch Misses,22631826
seq,40,18,WAVL Tree,L1 Misses,3310697
seq,40,18,WAVL Tree,LLC Misses,
seq,40,18,WAVL Tree,Branch Misses,26040940
seq,40,19,RB Tree,L1 Misses,3547833
seq,40,19,RB Tree,LLC Misses,
seq,40,19,RB Tree,Branch Misses,22701613
seq,40,19,WAVL Tree,L1 Misses,3373755
seq,40,19,WAVL Tree,LLC Misses,
seq,40,19,WAVL Tree,Branch Misses,26076143
seq,40,20,RB Tree,L1 Misses,3506283
seq,40,20,RB Tree,LLC Misses,
seq,40,20,RB Tree,Branch Misses,22607277
seq,40,20,WAVL Tree,L1 Misses,3413594
seq,40,20,WAVL Tree,LLC Misses,
seq,40,20,WAVL Tree,Branch Misses,26128387
seq,50,1,RB Tree,L1 Misses,3590952
seq,50,1,RB Tree,LLC Misses,
seq,50,1,RB Tree,Branch Misses,23891914
seq,50,1,WAVL Tree,L1 Misses,3431018
seq,50,1,WAVL Tree,LLC Misses,
seq,50,1,WAVL Tree,Branch Misses,27423387
seq,50,2,RB Tree,L1 Misses,3766267
seq,50,2,RB Tree,LLC Misses,
seq,50,2,RB Tree,Branch Misses,23815395
seq,50,2,WAVL Tree,L1 Misses,3419786
seq,50,2,WAVL Tree,LLC Misses,
seq,50,2,WAVL Tree,Branch Misses,27446973
seq,50,3,RB Tree,L1 Misses,3665393
seq,50,3,RB Tree,LLC Misses,
seq,50,3,RB Tree,Branch Misses,23884526
seq,50,3,WAVL Tree,L1 Misses,3403766
seq,50,3,WAVL Tree,LLC Misses,
seq,50,3,WAVL Tree,Branch Misses,27434751
seq,50,4,RB Tree,L1 Misses,3708104
seq,50,4,RB Tree,LLC Misses,
seq,50,4,RB Tree,Branch Misses,23870408
seq,50,4,WAVL Tree,L1 Misses,3416279
seq,50,4,WAVL Tree,LLC Misses,
seq,50,4,WAVL Tree,Branch Misses,27407686
seq,50,5,RB Tree,L1 Misses,4426978
seq,50,5,RB Tree,LLC Misses,
seq,50,5,RB Tree,Branch Misses,23789749
seq,50,5,WAVL Tree,L1 Misses,3382594
seq,50,5,WAVL Tree,LLC Misses,
seq,50,5,WAVL Tree,Branch Misses,27418693
seq,50,6,RB Tree,L1 Misses,3773372
seq,50,6,RB Tree,LLC Misses,
seq,50,6,RB Tree,Branch Misses,23738235
seq,50,6,WAVL Tree,L1 Misses,3336697
seq,50,6,WAVL Tree,LLC Misses,
seq,50,6,WAVL Tree,Branch Misses,27431594
seq,50,7,RB Tree,L1 Misses,3551182
seq,50,7,RB Tree,LLC Misses,
seq,50,7,RB Tree,Branch Misses,23752357
seq,50,7,WAVL Tree,L1 Misses,3378279
seq,50,7,WAVL Tree,LLC Misses,
seq,50,7,WAVL Tree,Branch Misses,27412180
seq,50,8,RB Tree,L1 Misses,3557986
seq,50,8,RB Tree,LLC Misses,
seq,50,8,RB Tree,Branch Misses,23877259
seq,50,8,WAVL Tree,L1 Misses,3413938
seq,50,8,WAVL Tree,LLC Misses,
seq,50,8,WAVL Tree,Branch Misses,27424563
seq,50,9,RB Tree,L1 Misses,3647229
seq,50,9,RB Tree,LLC Misses,
seq,50,9,RB Tree,Branch Misses,23758624
seq,50,9,WAVL Tree,L1 Misses,3325039
seq,50,9,WAVL Tree,LLC Misses,
seq,50,9,WAVL Tree,Branch Misses,27418665
seq,50,10,RB Tree,L1 Misses,3687279
seq,50,10,RB Tree,LLC Misses,
seq,50,10,RB Tree,Branch Misses,23798528
seq,50,10,WAVL Tree,L1 Misses,3454419
seq,50,10,WAVL Tree,LLC Misses,
seq,50,10,WAVL Tree,Branch Misses,27464685
seq,50,11,RB Tree,L1 Misses,3636533
seq,50,11,RB Tree,LLC Misses,
seq,50,11,RB Tree,Branch Misses,23799553
seq,50,11,WAVL Tree,L1 Misses,3475070
seq,50,11,WAVL Tree,LLC Misses,
seq,50,11,WAVL Tree,Branch Misses,27437218
seq,50,12,RB Tree,L1 Misses,3593025
seq,50,12,RB Tree,LLC Misses,
seq,50,12,RB Tree,Branch Misses,23898262
seq,50,12,WAVL Tree,L1 Misses,3465282
seq,50,12,WAVL Tree,LLC Misses,
seq,50,12,WAVL Tree,Branch Misses,27434370
seq,50,13,RB Tree,L1 Misses,3625699
seq,50,13,RB Tree,LLC Misses,
seq,50,13,RB Tree,Branch Misses,23772295
seq,50,13,WAVL Tree,L1 Misses,3438422
seq,50,13,WAVL Tree,LLC Misses,
seq,50,13,WAVL Tree,Branch Misses,27384717
seq,50,14,RB Tree,L1 Misses,3591206
seq,50,14,RB Tree,LLC Misses,
seq,50,14,RB Tree,Branch Misses,23789384
seq,50,14,WAVL Tree,L1 Misses,3417985
seq,50,14,WAVL Tree,LLC Misses,
seq,50,14,WAVL Tree,Branch Misses,27400313
seq,50,15,RB Tree,L1 Misses,3615589
seq,50,15,RB Tree,LLC Misses,
seq,50,15,RB Tree,Branch Misses,23791514
seq,50,15,WAVL Tree,L1 Misses,3474852
seq,50,15,WAVL Tree,LLC Misses,
seq,50,15,WAVL Tree,Branch Misses,27463002
seq,50,16,RB Tree,L1 Misses,3690732
seq,50,16,RB Tree,LLC Misses,
seq,50,16,RB Tree,Branch Misses,23841994
seq,50,16,WAVL Tree,L1 Misses,3421402
seq,50,16,WAVL Tree,LLC Misses,
seq,50,16,WAVL Tree,Branch Misses,27431549
seq,50,17,RB Tree,L1 Misses,3826488
seq,50,17,RB Tree,LLC Misses,
seq,50,17,RB Tree,Branch Misses,23788968
