Mode,N,D,Phase,RB_Latency_ns,WAVL_Latency_ns
seq,1000000,870000,Traversal,3713245,1242575
seq,1000000,890000,Lookup,42,41
seq,1000000,890000,Delete,49,59
seq,1000000,890000,Traversal,3147804,1046343
seq,1000000,910000,Lookup,42,40
seq,1000000,910000,Delete,49,59
seq,1000000,910000,Traversal,2461223,849920
seq,1000000,930000,Lookup,42,40
seq,1000000,930000,Delete,49,59
seq,1000000,930000,Traversal,1894980,616108
seq,1000000,950000,Lookup,42,40
seq,1000000,950000,Delete,49,59
seq,1000000,950000,Traversal,1468332,455793
seq,1000000,970000,Lookup,41,40
seq,1000000,970000,Delete,49,59
seq,1000000,970000,Traversal,822278,272196
seq,1000000,990000,Lookup,41,40
seq,1000000,990000,Delete,49,59
seq,1000000,990000,Traversal,263560,88267
reverse,1000000,10000,Lookup,44,44
reverse,1000000,10000,Delete,49,56
reverse,1000000,10000,Traversal,25145523,26405450
reverse,1000000,30000,Lookup,44,44
reverse,1000000,30000,Delete,50,56
reverse,1000000,30000,Traversal,25333409,25757121
reverse,1000000,50000,Lookup,43,43
reverse,1000000,50000,Delete,48,57
reverse,1000000,50000,Traversal,24568499,25125254
reverse,1000000,70000,Lookup,44,44
reverse,1000000,70000,Delete,49,57
reverse,1000000,70000,Traversal,24600940,25067154
reverse,1000000,90000,Lookup,43,43
reverse,1000000,90000,Delete,49,57
reverse,1000000,90000,Traversal,24196855,24210722
reverse,1000000,110000,Lookup,43,43
reverse,1000000,110000,Delete,49,57
reverse,1000000,110000,Traversal,23901665,23634139
reverse,1000000,130000,Lookup,43,43
reverse,1000000,130000,Delete,49,57
reverse,1000000,130000,Traversal,23518460,23158839
reverse,1000000,150000,Lookup,43,43
reverse,1000000,150000,Delete,49,57
reverse,1000000,150000,Traversal,22927921,22653191
reverse,1000000,170000,Lookup,43,43
reverse,1000000,170000,Delete,48,56
reverse,1000000,170000,Traversal,22471667,22169044
reverse,1000000,190000,Lookup,43,43
reverse,1000000,190000,Delete,49,57
reverse,1000000,190000,Traversal,22044758,21507830
reverse,1000000,210000,Lookup,43,43
reverse,1000000,210000,Delete,49,57
reverse,1000000,210000,Traversal,21557004,21128672
reverse,1000000,230000,Lookup,43,43
reverse,1000000,230000,Delete,49,57
reverse,1000000,230000,Traversal,20930737,20411974
reverse,1000000,250000,Lookup,43,43
reverse,1000000,250000,Delete,49,57
reverse,1000000,250000,Traversal,20441941,19903410
reverse,1000000,270000,Lookup,43,43
reverse,1000000,270000,Delete,49,56
reverse,1000000,270000,Traversal,19983102,19492592
reverse,1000000,290000,Lookup,43,43
reverse,1000000,290000,Delete,49,56
reverse,1000000,290000,Traversal,19259481,18657110
reverse,1000000,310000,Lookup,43,43
reverse,1000000,310000,Delete,49,57
reverse,1000000,310000,Traversal,18945305,18510742
reverse,1000000,330000,Lookup,43,43
reverse,1000000,330000,Delete,49,57
reverse,1000000,330000,Traversal,18163204,17568186
reverse,1000000,350000,Lookup,43,43
reverse,1000000,350000,Delete,49,57
reverse,1000000,350000,Traversal,17937546,17406069
reverse,1000000,370000,Lookup,43,43
reverse,1000000,370000,Delete,49,57
reverse,1000000,370000,Traversal,17350865,16746710
reverse,1000000,390000,Lookup,43,43
reverse,1000000,390000,Delete,49,56
reverse,1000000,390000,Traversal,16813506,16176850
reverse,1000000,410000,Lookup,43,43
reverse,1000000,410000,Delete,49,57
reverse,1000000,410000,Traversal,16025443,15379650
reverse,1000000,430000,Lookup,43,43
reverse,1000000,430000,Delete,49,57
reverse,1000000,430000,Traversal,15645854,15046368
reverse,1000000,450000,Lookup,43,43
reverse,1000000,450000,Delete,49,57
reverse,1000000,450000,Traversal,15301111,14513138
reverse,1000000,470000,Lookup,43,42
reverse,1000000,470000,Delete,49,57
reverse,1000000,470000,Traversal,14631412,14032889
reverse,1000000,490000,Lookup,43,42
reverse,1000000,490000,Delete,49,57
reverse,1000000,490000,Traversal,13959429,13343823
reverse,1000000,510000,Lookup,43,42
reverse,1000000,510000,Delete,49,57
reverse,1000000,510000,Traversal,13636277,12959054
reverse,1000000,530000,Lookup,43,42
reverse,1000000,530000,Delete,48,56
reverse,1000000,530000,Traversal,12984481,12170409
reverse,1000000,550000,Lookup,43,42
