Ratio,Run,Phase,Tree,Metric,Value_ns
10,33,Lookup,RB Tree,Latency,98
10,33,Lookup,WAVL Tree,Latency,99
10,33,Delete,RB Tree,Latency,55
10,33,Delete,WAVL Tree,Latency,62
10,33,Traversal,RB Tree,Latency,127120
10,33,Traversal,WAVL Tree,Latency,124936
10,34,Insert,RB Tree,Latency,108
10,34,Insert,WAVL Tree,Latency,126
10,34,Lookup,RB Tree,Latency,95
10,34,Lookup,WAVL Tree,Latency,96
10,34,Delete,RB Tree,Latency,53
10,34,Delete,WAVL Tree,Latency,62
10,34,Traversal,RB Tree,Latency,132401
10,34,Traversal,WAVL Tree,Latency,127642
10,35,Insert,RB Tree,Latency,108
10,35,Insert,WAVL Tree,Latency,127
10,35,Lookup,RB Tree,Latency,95
10,35,Lookup,WAVL Tree,Latency,97
10,35,Delete,RB Tree,Latency,53
10,35,Delete,WAVL Tree,Latency,61
10,35,Traversal,RB Tree,Latency,127101
10,35,Traversal,WAVL Tree,Latency,123323
10,36,Insert,RB Tree,Latency,107
10,36,Insert,WAVL Tree,Latency,126
10,36,Lookup,RB Tree,Latency,96
10,36,Lookup,WAVL Tree,Latency,96
10,36,Delete,RB Tree,Latency,53
10,36,Delete,WAVL Tree,Latency,65
10,36,Traversal,RB Tree,Latency,127160
10,36,Traversal,WAVL Tree,Latency,124365
10,37,Insert,RB Tree,Latency,106
10,37,Insert,WAVL Tree,Latency,126
10,37,Lookup,RB Tree,Latency,95
10,37,Lookup,WAVL Tree,Latency,99
10,37,Delete,RB Tree,Latency,54
10,37,Delete,WAVL Tree,Latency,62
10,37,Traversal,RB Tree,Latency,129615
10,37,Traversal,WAVL Tree,Latency,123925
10,38,Insert,RB Tree,Latency,108
10,38,Insert,WAVL Tree,Latency,128
10,38,Lookup,RB Tree,Latency,95
10,38,Lookup,WAVL Tree,Latency,101
10,38,Delete,RB Tree,Latency,54
10,38,Delete,WAVL Tree,Latency,62
10,38,Traversal,RB Tree,Latency,129255
10,38,Traversal,WAVL Tree,Latency,124225
10,39,Insert,RB Tree,Latency,107
10,39,Insert,WAVL Tree,Latency,126
10,39,Lookup,RB Tree,Latency,96
10,39,Lookup,WAVL Tree,Latency,97
10,39,Delete,RB Tree,Latency,54
10,39,Delete,WAVL Tree,Latency,62
10,39,Traversal,RB Tree,Latency,126820
10,39,Traversal,WAVL Tree,Latency,129936
10,40,Insert,RB Tree,Latency,109
10,40,Insert,WAVL Tree,Latency,125
10,40,Lookup,RB Tree,Latency,95
10,40,Lookup,WAVL Tree,Latency,95
10,40,Delete,RB Tree,Latency,53
10,40,Delete,WAVL Tree,Latency,62
10,40,Traversal,RB Tree,Latency,131409
10,40,Traversal,WAVL Tree,Latency,126109
10,41,Insert,RB Tree,Latency,112
10,41,Insert,WAVL Tree,Latency,128
10,41,Lookup,RB Tree,Latency,104
10,41,Lookup,WAVL Tree,Latency,117
10,41,Delete,RB Tree,Latency,58
10,41,Delete,WAVL Tree,Latency,66
10,41,Traversal,RB Tree,Latency,129205
10,41,Traversal,WAVL Tree,Latency,125548
10,42,Insert,RB Tree,Latency,110
10,42,Insert,WAVL Tree,Latency,129
10,42,Lookup,RB Tree,Latency,100
10,42,Lookup,WAVL Tree,Latency,129
10,42,Delete,RB Tree,Latency,56
10,42,Delete,WAVL Tree,Latency,64
10,42,Traversal,RB Tree,Latency,129005
10,42,Traversal,WAVL Tree,Latency,123804
10,43,Insert,RB Tree,Latency,108
10,43,Insert,WAVL Tree,Latency,127
10,43,Lookup,RB Tree,Latency,95
10,43,Lookup,WAVL Tree,Latency,96
10,43,Delete,RB Tree,Latency,54
10,43,Delete,WAVL Tree,Latency,62
10,43,Traversal,RB Tree,Latency,126540
10,43,Traversal,WAVL Tree,Latency,123935
10,44,Insert,RB Tree,Latency,109
10,44,Insert,WAVL Tree,Latency,127
10,44,Lookup,RB Tree,Latency,95
10,44,Lookup,WAVL Tree,Latency,97
10,44,Delete,RB Tree,Latency,54
10,44,Delete,WAVL Tree,Latency,62
10,44,Traversal,RB Tree,Latency,127421
10,44,Traversal,WAVL Tree,Latency,129005
10,45,Insert,RB Tree,Latency,108
10,45,Insert,WAVL Tree,Latency,126
10,45,Lookup,RB Tree,Latency,95
10,45,Lookup,WAVL Tree,Latency,96
10,45,Delete,RB Tree,Latency,54
10,45,Delete,WAVL Tree,Latency,61
10,45,Traversal,RB Tree,Latency,128053
10,45,Traversal,WAVL Tree,Latency,123825
10,46,Insert,RB Tree,Latency,108
10,46,Insert,WAVL Tree,Latency,127
10,46,Lookup,RB Tree,Latency,96
10,46,Lookup,WAVL Tree,Latency,96
10,46,Delete,RB Tree,Latency,53
10,46,Delete,WAVL Tree,Latency,62
10,46,Traversal,RB Tree,Latency,133193
10,46,Traversal,WAVL Tree,Latency,125147
10,47,Insert,RB Tree,Latency,107
10,47,Insert,WAVL Tree,Latency,126
10,47,Lookup,RB Tree,Latency,101
10,47,Lookup,WAVL Tree,Latency,97
10,47,Delete,RB Tree,Latency,54
10,47,Delete,WAVL Tree,Latency,63
10,47,Traversal,RB Tree,Latency,129064
10,47,Traversal,WAVL Tree,Latency,124206
10,48,Insert,RB Tree,Latency,109
10,48,Insert,WAVL Tree,Latency,127
10,48,Lookup,RB Tree,Latency,96
10,48,Lookup,WAVL Tree,Latency,97
10,48,Delete,RB Tree,Latency,54
10,48,Delete,WAVL Tree,Latency,62
10,48,Traversal,RB Tree,Latency,131750
10,48,Traversal,WAVL Tree,Latency,126900
10,49,Insert,RB Tree,Latency,108
10,49,Insert,WAVL Tree,Latency,127
10,49,Lookup,RB Tree,Latency,95
10,49,Lookup,WAVL Tree,Latency,98
10,49,Delete,RB Tree,Latency,55
10,49,Delete,WAVL Tree,Latency,62
10,49,Traversal,RB Tree,Latency,137110
10,49,Traversal,WAVL Tree,Latency,124095
10,50,Insert,RB Tree,Latency,107
10,50,Insert,WAVL Tree,Latency,126
10,50,Lookup,RB Tree,Latency,96
10,50,Lookup,WAVL Tree,Latency,99
10,50,Delete,RB Tree,Latency,54
10,50,Delete,WAVL Tree,Latency,66
10,50,Traversal,RB Tree,Latency,130498
10,50,Traversal,WAVL Tree,Latency,124245
20,1,Insert,RB Tree,Latency,113
20,1,Insert,WAVL Tree,Latency,131
20,1,Lookup,RB Tree,Latency,96
20,1,Lookup,WAVL Tree,Latency,97
20,1,Delete,RB Tree,Latency,64
20,1,Delete,WAVL Tree,Latency,62
20,1,Traversal,RB Tree,Latency,155635
20,1,Traversal,WAVL Tree,Latency,111642
20,2,Insert,RB Tree,Latency,109
20,2,Insert,WAVL Tree,Latency,126
20,2,Lookup,RB Tree,Latency,96
20,2,Lookup,WAVL Tree,Latency,97
20,2,Delete,RB Tree,Latency,54
20,2,Delete,WAVL Tree,Latency,62
20,2,Traversal,RB Tree,Latency,112313
20,2,Traversal,WAVL Tree,Latency,111030
20,3,Insert,RB Tree,Latency,112
20,3,Insert,WAVL Tree,Latency,129
20,3,Lookup,RB Tree,Latency,98
20,3,Lookup,WAVL Tree,Latency,97
20,3,Delete,RB Tree,Latency,56
20,3,Delete,WAVL Tree,Latency,63
20,3,Traversal,RB Tree,Latency,111381
20,3,Traversal,WAVL Tree,Latency,120439
20,4,Insert,RB Tree,Latency,108
20,4,Insert,WAVL Tree,Latency,127
20,4,Lookup,RB Tree,Latency,95
20,4,Lookup,WAVL Tree,Latency,96
20,4,Delete,RB Tree,Latency,56
20,4,Delete,WAVL Tree,Latency,62
20,4,Traversal,RB Tree,Latency,112163
20,4,Traversal,WAVL Tree,Latency,108406
20,5,Insert,RB Tree,Latency,108
20,5,Insert,WAVL Tree,Latency,125
20,5,Lookup,RB Tree,Latency,95
20,5,Lookup,WAVL Tree,Latency,97
20,5,Delete,RB Tree,Latency,56
20,5,Delete,WAVL Tree,Latency,63
20,5,Traversal,RB Tree,Latency,111111
20,5,Traversal,WAVL Tree,Latency,108315
20,6,Insert,RB Tree,Latency,112
20,6,Insert,WAVL Tree,Latency,127
20,6,Lookup,RB Tree,Latency,96
20,6,Lookup,WAVL Tree,Latency,100
20,6,Delete,RB Tree,Latency,55
20,6,Delete,WAVL Tree,Latency,62
20,6,Traversal,RB Tree,Latency,113786
20,6,Traversal,WAVL Tree,Latency,110950
20,7,Insert,RB Tree,Latency,108
20,7,Insert,WAVL Tree,Latency,126
20,7,Lookup,RB Tree,Latency,95
20,7,Lookup,WAVL Tree,Latency,96
20,7,Delete,RB Tree,Latency,54
20,7,Delete,WAVL Tree,Latency,62
20,7,Traversal,RB Tree,Latency,112974
20,7,Traversal,WAVL Tree,Latency,109758
20,8,Insert,RB Tree,Latency,108
20,8,Insert,WAVL Tree,Latency,126
20,8,Lookup,RB Tree,Latency,96
20,8,Lookup,WAVL Tree,Latency,96
