Ratio,Run,Phase,Tree,Metric,Value
20,24,Insert,RB Tree,Rotations,5943
20,24,Insert,WAVL Tree,Rotations,7067
20,24,Insert,RB Tree,Path,10178
20,24,Insert,WAVL Tree,Path,17849
20,24,Delete,RB Tree,Rotations,588
20,24,Delete,WAVL Tree,Rotations,631
20,24,Delete,RB Tree,Path,666
20,24,Delete,WAVL Tree,Path,704
20,25,Insert,RB Tree,Rotations,5876
20,25,Insert,WAVL Tree,Rotations,6938
20,25,Insert,RB Tree,Path,10174
20,25,Insert,WAVL Tree,Path,17819
20,25,Delete,RB Tree,Rotations,679
20,25,Delete,WAVL Tree,Rotations,688
20,25,Delete,RB Tree,Path,751
20,25,Delete,WAVL Tree,Path,715
20,26,Insert,RB Tree,Rotations,5792
20,26,Insert,WAVL Tree,Rotations,6968
20,26,Insert,RB Tree,Path,10310
20,26,Insert,WAVL Tree,Path,17809
20,26,Delete,RB Tree,Rotations,667
20,26,Delete,WAVL Tree,Rotations,632
20,26,Delete,RB Tree,Path,735
20,26,Delete,WAVL Tree,Path,736
20,27,Insert,RB Tree,Rotations,5758
20,27,Insert,WAVL Tree,Rotations,6994
20,27,Insert,RB Tree,Path,10244
20,27,Insert,WAVL Tree,Path,17906
20,27,Delete,RB Tree,Rotations,684
20,27,Delete,WAVL Tree,Rotations,677
20,27,Delete,RB Tree,Path,726
20,27,Delete,WAVL Tree,Path,760
20,28,Insert,RB Tree,Rotations,5865
20,28,Insert,WAVL Tree,Rotations,6878
20,28,Insert,RB Tree,Path,10206
20,28,Insert,WAVL Tree,Path,17713
20,28,Delete,RB Tree,Rotations,669
20,28,Delete,WAVL Tree,Rotations,651
20,28,Delete,RB Tree,Path,701
20,28,Delete,WAVL Tree,Path,693
20,29,Insert,RB Tree,Rotations,5735
20,29,Insert,WAVL Tree,Rotations,6829
20,29,Insert,RB Tree,Path,10232
20,29,Insert,WAVL Tree,Path,17737
20,29,Delete,RB Tree,Rotations,637
20,29,Delete,WAVL Tree,Rotations,588
20,29,Delete,RB Tree,Path,700
20,29,Delete,WAVL Tree,Path,742
20,30,Insert,RB Tree,Rotations,5779
20,30,Insert,WAVL Tree,Rotations,6948
20,30,Insert,RB Tree,Path,10204
20,30,Insert,WAVL Tree,Path,17868
20,30,Delete,RB Tree,Rotations,678
20,30,Delete,WAVL Tree,Rotations,649
20,30,Delete,RB Tree,Path,741
20,30,Delete,WAVL Tree,Path,726
20,31,Insert,RB Tree,Rotations,5887
20,31,Insert,WAVL Tree,Rotations,6971
20,31,Insert,RB Tree,Path,10286
20,31,Insert,WAVL Tree,Path,17788
20,31,Delete,RB Tree,Rotations,678
20,31,Delete,WAVL Tree,Rotations,671
