Ratio,Run,Tree,Metric,Value
30,19,WAVL Tree,L1 Misses,163240
30,19,WAVL Tree,Branch Misses,370222
30,20,RB Tree,L1 Misses,158928
30,20,RB Tree,Branch Misses,339845
30,20,WAVL Tree,L1 Misses,162278
30,20,WAVL Tree,Branch Misses,370083
30,21,RB Tree,L1 Misses,157910
30,21,RB Tree,Branch Misses,340248
30,21,WAVL Tree,L1 Misses,161814
30,21,WAVL Tree,Branch Misses,370569
30,22,RB Tree,L1 Misses,156416
30,22,RB Tree,Branch Misses,339722
30,22,WAVL Tree,L1 Misses,160413
30,22,WAVL Tree,Branch Misses,366800
30,23,RB Tree,L1 Misses,159911
30,23,RB Tree,Branch Misses,342866
30,23,WAVL Tree,L1 Misses,160821
30,23,WAVL Tree,Branch Misses,366399
30,24,RB Tree,L1 Misses,158195
30,24,RB Tree,Branch Misses,345737
30,24,WAVL Tree,L1 Misses,160534
30,24,WAVL Tree,Branch Misses,366118
30,25,RB Tree,L1 Misses,157409
30,25,RB Tree,Branch Misses,343998
30,25,WAVL Tree,L1 Misses,164141
30,25,WAVL Tree,Branch Misses,365965
30,26,RB Tree,L1 Misses,158239
30,26,RB Tree,Branch Misses,344157
30,26,WAVL Tree,L1 Misses,160437
30,26,WAVL Tree,Branch Misses,365360
30,27,RB Tree,L1 Misses,160552
30,27,RB Tree,Branch Misses,342272
30,27,WAVL Tree,L1 Misses,162061
30,27,WAVL Tree,Branch Misses,365152
30,28,RB Tree,L1 Misses,159661
30,28,RB Tree,Branch Misses,343445
30,28,WAVL Tree,L1 Misses,161221
30,28,WAVL Tree,Branch Misses,366056
30,29,RB Tree,L1 Misses,159660
30,29,RB Tree,Branch Misses,344230
30,29,WAVL Tree,L1 Misses,163028
30,29,WAVL Tree,Branch Misses,370346
30,30,RB Tree,L1 Misses,164748
30,30,RB Tree,Branch Misses,339262
30,30,WAVL Tree,L1 Misses,161529
30,30,WAVL Tree,Branch Misses,366642
30,31,RB Tree,L1 Misses,158183
30,31,RB Tree,Branch Misses,342286
30,31,WAVL Tree,L1 Misses,161696
30,31,WAVL Tree,Branch Misses,366536
30,32,RB Tree,L1 Misses,159300
30,32,RB Tree,Branch Misses,344882
30,32,WAVL Tree,L1 Misses,161905
30,32,WAVL Tree,Branch Misses,366128
30,33,RB Tree,L1 Misses,158482
30,33,RB Tree,Branch Misses,344238
30,33,WAVL Tree,L1 Misses,160101
30,33,WAVL Tree,Branch Misses,366349
30,34,RB Tree,L1 Misses,158162
30,34,RB Tree,Branch Misses,344309
30,34,WAVL Tree,L1 Misses,162124
30,34,WAVL Tree,Branch Misses,365947
30,35,RB Tree,L1 Misses,156842
30,35,RB Tree,Branch Misses,341059
30,35,WAVL Tree,L1 Misses,162919
30,35,WAVL Tree,Branch Misses,366414
30,36,RB Tree,L1 Misses,157966
30,36,RB Tree,Branch Misses,339516
30,36,WAVL Tree,L1 Misses,160996
30,36,WAVL Tree,Branch Misses,365705
30,37,RB Tree,L1 Misses,157827
30,37,RB Tree,Branch Misses,340406
30,37,WAVL Tree,L1 Misses,160947
30,37,WAVL Tree,Branch Misses,365741
30,38,RB Tree,L1 Misses,158034
30,38,RB Tree,Branch Misses,342564
30,38,WAVL Tree,L1 Misses,162084
30,38,WAVL Tree,Branch Misses,366298
30,39,RB Tree,L1 Misses,160037
30,39,RB Tree,Branch Misses,344617
30,39,WAVL Tree,L1 Misses,161105
30,39,WAVL Tree,Branch Misses,366481
30,40,RB Tree,L1 Misses,158261
30,40,RB Tree,Branch Misses,344416
30,40,WAVL Tree,L1 Misses,162257
30,40,WAVL Tree,Branch Misses,366170
30,41,RB Tree,L1 Misses,161328
30,41,RB Tree,Branch Misses,344708
30,41,WAVL Tree,L1 Misses,162197
30,41,WAVL Tree,Branch Misses,367181
30,42,RB Tree,L1 Misses,159161
30,42,RB Tree,Branch Misses,343465
30,42,WAVL Tree,L1 Misses,163354
30,42,WAVL Tree,Branch Misses,366241
30,43,RB Tree,L1 Misses,159137
30,43,RB Tree,Branch Misses,344021
30,43,WAVL Tree,L1 Misses,162270
30,43,WAVL Tree,Branch Misses,366380
30,44,RB Tree,L1 Misses,158413
30,44,RB Tree,Branch Misses,345247
30,44,WAVL Tree,L1 Misses,162524
30,44,WAVL Tree,Branch Misses,366342
30,45,RB Tree,L1 Misses,161055
30,45,RB Tree,Branch Misses,340150
30,45,WAVL Tree,L1 Misses,160079
30,45,WAVL Tree,Branch Misses,366854
30,46,RB Tree,L1 Misses,157430
30,46,RB Tree,Branch Misses,340013
30,46,WAVL Tree,L1 Misses,163047
30,46,WAVL Tree,Branch Misses,370459
30,47,RB Tree,L1 Misses,158076
30,47,RB Tree,Branch Misses,339519
30,47,WAVL Tree,L1 Misses,163201
30,47,WAVL Tree,Branch Misses,370408
30,48,RB Tree,L1 Misses,158826
30,48,RB Tree,Branch Misses,341040
30,48,WAVL Tree,L1 Misses,163693
30,48,WAVL Tree,Branch Misses,370055
30,49,RB Tree,L1 Misses,158687
30,49,RB Tree,Branch Misses,340503
30,49,WAVL Tree,L1 Misses,166067
30,49,WAVL Tree,Branch Misses,370550
30,50,RB Tree,L1 Misses,158474
30,50,RB Tree,Branch Misses,339895
30,50,WAVL Tree,L1 Misses,161703
30,50,WAVL Tree,Branch Misses,370406
40,1,RB Tree,L1 Misses,168431
40,1,RB Tree,Branch Misses,363164
40,1,WAVL Tree,L1 Misses,170102
40,1,WAVL Tree,Branch Misses,386727
40,2,RB Tree,L1 Misses,166230
40,2,RB Tree,Branch Misses,361393
40,2,WAVL Tree,L1 Misses,173656
40,2,WAVL Tree,Branch Misses,387860
40,3,RB Tree,L1 Misses,167120
40,3,RB Tree,Branch Misses,362521
40,3,WAVL Tree,L1 Misses,168739
40,3,WAVL Tree,Branch Misses,390179
40,4,RB Tree,L1 Misses,167125
40,4,RB Tree,Branch Misses,358392
40,4,WAVL Tree,L1 Misses,170835
40,4,WAVL Tree,Branch Misses,390257
40,5,RB Tree,L1 Misses,168662
40,5,RB Tree,Branch Misses,358164
40,5,WAVL Tree,L1 Misses,169510
40,5,WAVL Tree,Branch Misses,389246
40,6,RB Tree,L1 Misses,165976
40,6,RB Tree,Branch Misses,358454
40,6,WAVL Tree,L1 Misses,171669
40,6,WAVL Tree,Branch Misses,390388
40,7,RB Tree,L1 Misses,166180
40,7,RB Tree,Branch Misses,358785
40,7,WAVL Tree,L1 Misses,171574
40,7,WAVL Tree,Branch Misses,387206
40,8,RB Tree,L1 Misses,166989
40,8,RB Tree,Branch Misses,362086
40,8,WAVL Tree,L1 Misses,170352
40,8,WAVL Tree,Branch Misses,386867
40,9,RB Tree,L1 Misses,166466
40,9,RB Tree,Branch Misses,362218
40,9,WAVL Tree,L1 Misses,168604
40,9,WAVL Tree,Branch Misses,386771
40,10,RB Tree,L1 Misses,166664
40,10,RB Tree,Branch Misses,362492
40,10,WAVL Tree,L1 Misses,171368
40,10,WAVL Tree,Branch Misses,387017
40,11,RB Tree,L1 Misses,166788
40,11,RB Tree,Branch Misses,361923
40,11,WAVL Tree,L1 Misses,170226
40,11,WAVL Tree,Branch Misses,386617
40,12,RB Tree,L1 Misses,166655
40,12,RB Tree,Branch Misses,362230
40,12,WAVL Tree,L1 Misses,170302
40,12,WAVL Tree,Branch Misses,387210
40,13,RB Tree,L1 Misses,169520
40,13,RB Tree,Branch Misses,363557
40,13,WAVL Tree,L1 Misses,169190
40,13,WAVL Tree,Branch Misses,388120
40,14,RB Tree,L1 Misses,166969
40,14,RB Tree,Branch Misses,362358
40,14,WAVL Tree,L1 Misses,170676
40,14,WAVL Tree,Branch Misses,391368
40,15,RB Tree,L1 Misses,165087
40,15,RB Tree,Branch Misses,358486
40,15,WAVL Tree,L1 Misses,170983
40,15,WAVL Tree,Branch Misses,390400
40,16,RB Tree,L1 Misses,165544
40,16,RB Tree,Branch Misses,358129
40,16,WAVL Tree,L1 Misses,169477
