PoolSize,Run,Tree,Metric,Value
500000,8,WAVL Tree,L1 Misses,7453839
500000,8,WAVL Tree,Branch Misses,8740633
500000,9,RB Tree,L1 Misses,7218537
500000,9,RB Tree,Branch Misses,8130737
500000,9,WAVL Tree,L1 Misses,7534760
500000,9,WAVL Tree,Branch Misses,8742287
500000,10,RB Tree,L1 Misses,7176082
500000,10,RB Tree,Branch Misses,8124196
500000,10,WAVL Tree,L1 Misses,7443708
500000,10,WAVL Tree,Branch Misses,8743829
500000,11,RB Tree,L1 Misses,7193469
500000,11,RB Tree,Branch Misses,8127844
500000,11,WAVL Tree,L1 Misses,7470131
500000,11,WAVL Tree,Branch Misses,8734029
500000,12,RB Tree,L1 Misses,7203527
500000,12,RB Tree,Branch Misses,8127499
500000,12,WAVL Tree,L1 Misses,7465710
500000,12,WAVL Tree,Branch Misses,8736564
500000,13,RB Tree,L1 Misses,7223464
500000,13,RB Tree,Branch Misses,8128699
500000,13,WAVL Tree,L1 Misses,7468904
500000,13,WAVL Tree,Branch Misses,8742213
500000,14,RB Tree,L1 Misses,7160604
500000,14,RB Tree,Branch Misses,8132695
500000,14,WAVL Tree,L1 Misses,7510528
500000,14,WAVL Tree,Branch Misses,8743426
500000,15,RB Tree,L1 Misses,7247945
500000,15,RB Tree,Branch Misses,8130727
500000,15,WAVL Tree,L1 Misses,7506149
500000,15,WAVL Tree,Branch Misses,8746213
500000,16,RB Tree,L1 Misses,7211596
500000,16,RB Tree,Branch Misses,8131751
500000,16,WAVL Tree,L1 Misses,7500384
500000,16,WAVL Tree,Branch Misses,8740115
500000,17,RB Tree,L1 Misses,7257168
500000,17,RB Tree,Branch Misses,8133269
500000,17,WAVL Tree,L1 Misses,7544140
500000,17,WAVL Tree,Branch Misses,8738152
500000,18,RB Tree,L1 Misses,7237895
500000,18,RB Tree,Branch Misses,8135518
500000,18,WAVL Tree,L1 Misses,7466973
500000,18,WAVL Tree,Branch Misses,8739664
500000,19,RB Tree,L1 Misses,7271445
500000,19,RB Tree,Branch Misses,8129948
500000,19,WAVL Tree,L1 Misses,7450469
500000,19,WAVL Tree,Branch Misses,8743463
500000,20,RB Tree,L1 Misses,7253123
500000,20,RB Tree,Branch Misses,8135898
500000,20,WAVL Tree,L1 Misses,7470327
500000,20,WAVL Tree,Branch Misses,8736321
1000000,1,RB Tree,L1 Misses,13699432
1000000,1,RB Tree,Branch Misses,14383100
1000000,1,WAVL Tree,L1 Misses,14380392
1000000,1,WAVL Tree,Branch Misses,15388411
1000000,2,RB Tree,L1 Misses,13688170
1000000,2,RB Tree,Branch Misses,14365038
1000000,2,WAVL Tree,L1 Misses,14272311
1000000,2,WAVL Tree,Branch Misses,15371973
1000000,3,RB Tree,L1 Misses,13739755
1000000,3,RB Tree,Branch Misses,14366248
1000000,3,WAVL Tree,L1 Misses,14205306
1000000,3,WAVL Tree,Branch Misses,15369324
1000000,4,RB Tree,L1 Misses,13603073
1000000,4,RB Tree,Branch Misses,14363220
1000000,4,WAVL Tree,L1 Misses,14277150
1000000,4,WAVL Tree,Branch Misses,15376154
1000000,5,RB Tree,L1 Misses,13699584
1000000,5,RB Tree,Branch Misses,14366087
1000000,5,WAVL Tree,L1 Misses,14258605
1000000,5,WAVL Tree,Branch Misses,15384774
1000000,6,RB Tree,L1 Misses,13672831
1000000,6,RB Tree,Branch Misses,14364922
1000000,6,WAVL Tree,L1 Misses,14208298
1000000,6,WAVL Tree,Branch Misses,15379853
1000000,7,RB Tree,L1 Misses,13706437
1000000,7,RB Tree,Branch Misses,14367519
1000000,7,WAVL Tree,L1 Misses,14301282
1000000,7,WAVL Tree,Branch Misses,15385800
1000000,8,RB Tree,L1 Misses,13696056
1000000,8,RB Tree,Branch Misses,14357975
1000000,8,WAVL Tree,L1 Misses,14193429
1000000,8,WAVL Tree,Branch Misses,15367591
1000000,9,RB Tree,L1 Misses,13743463
1000000,9,RB Tree,Branch Misses,14373464
1000000,9,WAVL Tree,L1 Misses,14260813
1000000,9,WAVL Tree,Branch Misses,15382780
1000000,10,RB Tree,L1 Misses,13767973
1000000,10,RB Tree,Branch Misses,14369927
1000000,10,WAVL Tree,L1 Misses,14274187
1000000,10,WAVL Tree,Branch Misses,15378769
1000000,11,RB Tree,L1 Misses,13674521
1000000,11,RB Tree,Branch Misses,14367370
1000000,11,WAVL Tree,L1 Misses,14228429
1000000,11,WAVL Tree,Branch Misses,15377030
1000000,12,RB Tree,L1 Misses,13678540
1000000,12,RB Tree,Branch Misses,14365169
1000000,12,WAVL Tree,L1 Misses,14293096
1000000,12,WAVL Tree,Branch Misses,15374265
1000000,13,RB Tree,L1 Misses,13721489
1000000,13,RB Tree,Branch Misses,14367763
1000000,13,WAVL Tree,L1 Misses,14291226
1000000,13,WAVL Tree,Branch Misses,15378642
1000000,14,RB Tree,L1 Misses,13744720
1000000,14,RB Tree,Branch Misses,14368477
1000000,14,WAVL Tree,L1 Misses,14202059
1000000,14,WAVL Tree,Branch Misses,15381659
1000000,15,RB Tree,L1 Misses,13624359
1000000,15,RB Tree,Branch Misses,14365108
1000000,15,WAVL Tree,L1 Misses,14176581
1000000,15,WAVL Tree,Branch Misses,15379895
1000000,16,RB Tree,L1 Misses,13651422
1000000,16,RB Tree,Branch Misses,14364514
1000000,16,WAVL Tree,L1 Misses,14257912
1000000,16,WAVL Tree,Branch Misses,15380945
1000000,17,RB Tree,L1 Misses,13733341
1000000,17,RB Tree,Branch Misses,14373582
1000000,17,WAVL Tree,L1 Misses,14339414
1000000,17,WAVL Tree,Branch Misses,15380344
1000000,18,RB Tree,L1 Misses,13641017
1000000,18,RB Tree,Branch Misses,14375566
1000000,18,WAVL Tree,L1 Misses,14245613
1000000,18,WAVL Tree,Branch Misses,15381612
1000000,19,RB Tree,L1 Misses,13716321
1000000,19,RB Tree,Branch Misses,14357812
1000000,19,WAVL Tree,L1 Misses,14164698
1000000,19,WAVL Tree,Branch Misses,15377721
1000000,20,RB Tree,L1 Misses,13686377
1000000,20,RB Tree,Branch Misses,14367377
1000000,20,WAVL Tree,L1 Misses,14223398
1000000,20,WAVL Tree,Branch Misses,15382970
