Mode,Ratio,Run,Tree,Metric,Value
seq,40,13,RB Tree,L1 Misses,2973332
seq,40,13,RB Tree,LLC Misses,
seq,40,13,RB Tree,Branch Misses,21962239
seq,40,13,WAVL Tree,L1 Misses,2635496
seq,40,13,WAVL Tree,Branch Misses,25293429
seq,40,14,RB Tree,L1 Misses,2753439
seq,40,14,RB Tree,LLC Misses,
seq,40,14,RB Tree,Branch Misses,21987747
seq,40,14,WAVL Tree,L1 Misses,2632956
seq,40,14,WAVL Tree,Branch Misses,25307397
seq,40,15,RB Tree,L1 Misses,2712516
seq,40,15,RB Tree,LLC Misses,
seq,40,15,RB Tree,Branch Misses,21961071
seq,40,15,WAVL Tree,L1 Misses,2640450
seq,40,15,WAVL Tree,Branch Misses,25309484
seq,40,16,RB Tree,L1 Misses,2775567
seq,40,16,RB Tree,LLC Misses,
seq,40,16,RB Tree,Branch Misses,21975828
seq,40,16,WAVL Tree,L1 Misses,2614796
seq,40,16,WAVL Tree,Branch Misses,25299389
seq,40,17,RB Tree,L1 Misses,2770593
seq,40,17,RB Tree,LLC Misses,
seq,40,17,RB Tree,Branch Misses,21946666
seq,40,17,WAVL Tree,L1 Misses,2696690
seq,40,17,WAVL Tree,Branch Misses,25297194
seq,40,18,RB Tree,L1 Misses,2947529
seq,40,18,RB Tree,LLC Misses,
seq,40,18,RB Tree,Branch Misses,21938696
seq,40,18,WAVL Tree,L1 Misses,2628118
seq,40,18,WAVL Tree,Branch Misses,25318056
seq,40,19,RB Tree,L1 Misses,2753223
seq,40,19,RB Tree,LLC Misses,
seq,40,19,RB Tree,Branch Misses,21920975
seq,40,19,WAVL Tree,L1 Misses,2609526
seq,40,19,WAVL Tree,Branch Misses,25294920
seq,40,20,RB Tree,L1 Misses,2749052
seq,40,20,RB Tree,LLC Misses,
seq,40,20,RB Tree,Branch Misses,21952501
seq,40,20,WAVL Tree,L1 Misses,2623008
seq,40,20,WAVL Tree,Branch Misses,25286499
seq,50,1,RB Tree,L1 Misses,2739642
seq,50,1,RB Tree,LLC Misses,
seq,50,1,RB Tree,Branch Misses,22867233
seq,50,1,WAVL Tree,L1 Misses,2602688
seq,50,1,WAVL Tree,Branch Misses,26581547
seq,50,2,RB Tree,L1 Misses,2739764
seq,50,2,RB Tree,LLC Misses,
seq,50,2,RB Tree,Branch Misses,23021952
seq,50,2,WAVL Tree,L1 Misses,2602078
seq,50,2,WAVL Tree,Branch Misses,26604231
seq,50,3,RB Tree,L1 Misses,2810431
seq,50,3,RB Tree,LLC Misses,
seq,50,3,RB Tree,Branch Misses,23099453
seq,50,3,WAVL Tree,L1 Misses,2591600
seq,50,3,WAVL Tree,Branch Misses,26600566
seq,50,4,RB Tree,L1 Misses,2730131
seq,50,4,RB Tree,LLC Misses,
seq,50,4,RB Tree,Branch Misses,22876478
seq,50,4,WAVL Tree,L1 Misses,2588333
seq,50,4,WAVL Tree,Branch Misses,26589998
seq,50,5,RB Tree,L1 Misses,2721167
seq,50,5,RB Tree,LLC Misses,
seq,50,5,RB Tree,Branch Misses,22902728
seq,50,5,WAVL Tree,L1 Misses,2607907
seq,50,5,WAVL Tree,Branch Misses,26568598
seq,50,6,RB Tree,L1 Misses,2733582
seq,50,6,RB Tree,LLC Misses,
seq,50,6,RB Tree,Branch Misses,22844596
seq,50,6,WAVL Tree,L1 Misses,2619903
seq,50,6,WAVL Tree,Branch Misses,26587537
seq,50,7,RB Tree,L1 Misses,2769098
seq,50,7,RB Tree,LLC Misses,
seq,50,7,RB Tree,Branch Misses,22992658
seq,50,7,WAVL Tree,L1 Misses,2610094
seq,50,7,WAVL Tree,Branch Misses,26575405
seq,50,8,RB Tree,L1 Misses,2738823
seq,50,8,RB Tree,LLC Misses,
seq,50,8,RB Tree,Branch Misses,23060472
seq,50,8,WAVL Tree,L1 Misses,2701005
seq,50,8,WAVL Tree,Branch Misses,26600333
seq,50,9,RB Tree,L1 Misses,2737197
seq,50,9,RB Tree,LLC Misses,
seq,50,9,RB Tree,Branch Misses,23064848
seq,50,9,WAVL Tree,L1 Misses,2624390
seq,50,9,WAVL Tree,Branch Misses,26599237
seq,50,10,RB Tree,L1 Misses,2791275
seq,50,10,RB Tree,LLC Misses,
seq,50,10,RB Tree,Branch Misses,22868161
seq,50,10,WAVL Tree,L1 Misses,2886703
seq,50,10,WAVL Tree,Branch Misses,26582065
seq,50,11,RB Tree,L1 Misses,2869051
seq,50,11,RB Tree,LLC Misses,
seq,50,11,RB Tree,Branch Misses,22866070
seq,50,11,WAVL Tree,L1 Misses,2650695
seq,50,11,WAVL Tree,Branch Misses,26551133
seq,50,12,RB Tree,L1 Misses,2707105
seq,50,12,RB Tree,LLC Misses,
seq,50,12,RB Tree,Branch Misses,23040849
seq,50,12,WAVL Tree,L1 Misses,2626252
seq,50,12,WAVL Tree,Branch Misses,26569023
seq,50,13,RB Tree,L1 Misses,2935193
seq,50,13,RB Tree,LLC Misses,
seq,50,13,RB Tree,Branch Misses,22945346
seq,50,13,WAVL Tree,L1 Misses,2811152
seq,50,13,WAVL Tree,Branch Misses,26563790
seq,50,14,RB Tree,L1 Misses,2731363
seq,50,14,RB Tree,LLC Misses,
seq,50,14,RB Tree,Branch Misses,23073199
seq,50,14,WAVL Tree,L1 Misses,2666745
seq,50,14,WAVL Tree,Branch Misses,26582196
seq,50,15,RB Tree,L1 Misses,2864092
seq,50,15,RB Tree,LLC Misses,
seq,50,15,RB Tree,Branch Misses,23087122
seq,50,15,WAVL Tree,L1 Misses,2598970
seq,50,15,WAVL Tree,Branch Misses,26587583
seq,50,16,RB Tree,L1 Misses,2744424
seq,50,16,RB Tree,LLC Misses,
seq,50,16,RB Tree,Branch Misses,22872228
seq,50,16,WAVL Tree,L1 Misses,2607510
seq,50,16,WAVL Tree,Branch Misses,26572516
