Run,Phase,Tree,Metric,Value
58,Insert,WAVL Tree,Path,1790395
58,Delete,RB Tree,Rotations,183837
58,Delete,WAVL Tree,Rotations,224602
58,Delete,RB Tree,Path,617771
58,Delete,WAVL Tree,Path,922176
59,Insert,RB Tree,Rotations,588446
59,Insert,WAVL Tree,Rotations,703878
59,Insert,RB Tree,Path,1030556
59,Insert,WAVL Tree,Path,1790112
59,Delete,RB Tree,Rotations,184452
59,Delete,WAVL Tree,Rotations,224604
59,Delete,RB Tree,Path,617627
59,Delete,WAVL Tree,Path,920718
60,Insert,RB Tree,Rotations,588521
60,Insert,WAVL Tree,Rotations,703508
60,Insert,RB Tree,Path,1030150
60,Insert,WAVL Tree,Path,1791910
60,Delete,RB Tree,Rotations,184175
60,Delete,WAVL Tree,Rotations,224243
60,Delete,RB Tree,Path,617213
60,Delete,WAVL Tree,Path,922243
61,Insert,RB Tree,Rotations,588325
61,Insert,WAVL Tree,Rotations,703331
61,Insert,RB Tree,Path,1030782
61,Insert,WAVL Tree,Path,1790207
61,Delete,RB Tree,Rotations,184658
61,Delete,WAVL Tree,Rotations,222499
61,Delete,RB Tree,Path,617915
61,Delete,WAVL Tree,Path,922621
62,Insert,RB Tree,Rotations,588833
62,Insert,WAVL Tree,Rotations,704266
62,Insert,RB Tree,Path,1030798
62,Insert,WAVL Tree,Path,1791754
62,Delete,RB Tree,Rotations,185130
62,Delete,WAVL Tree,Rotations,224368
62,Delete,RB Tree,Path,618344
62,Delete,WAVL Tree,Path,922433
63,Insert,RB Tree,Rotations,587813
63,Insert,WAVL Tree,Rotations,703530
63,Insert,RB Tree,Path,1029700
63,Insert,WAVL Tree,Path,1791142
63,Delete,RB Tree,Rotations,183788
63,Delete,WAVL Tree,Rotations,223413
63,Delete,RB Tree,Path,616736
63,Delete,WAVL Tree,Path,922169
64,Insert,RB Tree,Rotations,588182
64,Insert,WAVL Tree,Rotations,703557
64,Insert,RB Tree,Path,1031590
64,Insert,WAVL Tree,Path,1791389
64,Delete,RB Tree,Rotations,184233
64,Delete,WAVL Tree,Rotations,223035
64,Delete,RB Tree,Path,618081
64,Delete,WAVL Tree,Path,921992
65,Insert,RB Tree,Rotations,589199
65,Insert,WAVL Tree,Rotations,704501
65,Insert,RB Tree,Path,1030604
65,Insert,WAVL Tree,Path,1791219
65,Delete,RB Tree,Rotations,183866
65,Delete,WAVL Tree,Rotations,223278
65,Delete,RB Tree,Path,617412
65,Delete,WAVL Tree,Path,921670
66,Insert,RB Tree,Rotations,587405
66,Insert,WAVL Tree,Rotations,703897
66,Insert,RB Tree,Path,1030126
66,Insert,WAVL Tree,Path,1791675
66,Delete,RB Tree,Rotations,184535
66,Delete,WAVL Tree,Rotations,223936
66,Delete,RB Tree,Path,617334
66,Delete,WAVL Tree,Path,922779
67,Insert,RB Tree,Rotations,588368
67,Insert,WAVL Tree,Rotations,704097
67,Insert,RB Tree,Path,1030526
67,Insert,WAVL Tree,Path,1790213
67,Delete,RB Tree,Rotations,184112
67,Delete,WAVL Tree,Rotations,223767
67,Delete,RB Tree,Path,617365
67,Delete,WAVL Tree,Path,921553
68,Insert,RB Tree,Rotations,589562
68,Insert,WAVL Tree,Rotations,705083
68,Insert,RB Tree,Path,1031224
68,Insert,WAVL Tree,Path,1791878
68,Delete,RB Tree,Rotations,183610
68,Delete,WAVL Tree,Rotations,224955
68,Delete,RB Tree,Path,617611
68,Delete,WAVL Tree,Path,922199
69,Insert,RB Tree,Rotations,588506
69,Insert,WAVL Tree,Rotations,704380
69,Insert,RB Tree,Path,1030396
69,Insert,WAVL Tree,Path,1791020
69,Delete,RB Tree,Rotations,184270
69,Delete,WAVL Tree,Rotations,223663
69,Delete,RB Tree,Path,617555
69,Delete,WAVL Tree,Path,921893
70,Insert,RB Tree,Rotations,589933
70,Insert,WAVL Tree,Rotations,704766
70,Insert,RB Tree,Path,1030808
70,Insert,WAVL Tree,Path,1791817
70,Delete,RB Tree,Rotations,184633
70,Delete,WAVL Tree,Rotations,224558
70,Delete,RB Tree,Path,617770
70,Delete,WAVL Tree,Path,922359
71,Insert,RB Tree,Rotations,588330
71,Insert,WAVL Tree,Rotations,703635
71,Insert,RB Tree,Path,1030920
71,Insert,WAVL Tree,Path,1790405
71,Delete,RB Tree,Rotations,183704
71,Delete,WAVL Tree,Rotations,223842
71,Delete,RB Tree,Path,617484
71,Delete,WAVL Tree,Path,921521
72,Insert,RB Tree,Rotations,588129
72,Insert,WAVL Tree,Rotations,703979
72,Insert,RB Tree,Path,1030490
72,Insert,WAVL Tree,Path,1790109
72,Delete,RB Tree,Rotations,184586
72,Delete,WAVL Tree,Rotations,224717
72,Delete,RB Tree,Path,617628
72,Delete,WAVL Tree,Path,921584
73,Insert,RB Tree,Rotations,587241
73,Insert,WAVL Tree,Rotations,702805
73,Insert,RB Tree,Path,1031024
73,Insert,WAVL Tree,Path,1790251
73,Delete,RB Tree,Rotations,184328
73,Delete,WAVL Tree,Rotations,223155
73,Delete,RB Tree,Path,617998
73,Delete,WAVL Tree,Path,921870
74,Insert,RB Tree,Rotations,588181
74,Insert,WAVL Tree,Rotations,703735
74,Insert,RB Tree,Path,1029748
74,Insert,WAVL Tree,Path,1790080
74,Delete,RB Tree,Rotations,184079
74,Delete,WAVL Tree,Rotations,222637
74,Delete,RB Tree,Path,617260
74,Delete,WAVL Tree,Path,921881
75,Insert,RB Tree,Rotations,587647
75,Insert,WAVL Tree,Rotations,702997
75,Insert,RB Tree,Path,1030550
75,Insert,WAVL Tree,Path,1790342
75,Delete,RB Tree,Rotations,185016
75,Delete,WAVL Tree,Rotations,224380
75,Delete,RB Tree,Path,618329
75,Delete,WAVL Tree,Path,921940
76,Insert,RB Tree,Rotations,589277
76,Insert,WAVL Tree,Rotations,704063
76,Insert,RB Tree,Path,1031152
76,Insert,WAVL Tree,Path,1791369
76,Delete,RB Tree,Rotations,184439
76,Delete,WAVL Tree,Rotations,223888
76,Delete,RB Tree,Path,618054
76,Delete,WAVL Tree,Path,921625
77,Insert,RB Tree,Rotations,587465
77,Insert,WAVL Tree,Rotations,702830
77,Insert,RB Tree,Path,1030814
77,Insert,WAVL Tree,Path,1790473
77,Delete,RB Tree,Rotations,185378
77,Delete,WAVL Tree,Rotations,224022
77,Delete,RB Tree,Path,618602
77,Delete,WAVL Tree,Path,922777
78,Insert,RB Tree,Rotations,588618
78,Insert,WAVL Tree,Rotations,703782
78,Insert,RB Tree,Path,1030658
78,Insert,WAVL Tree,Path,1791390
78,Delete,RB Tree,Rotations,183856
78,Delete,WAVL Tree,Rotations,223413
78,Delete,RB Tree,Path,617405
78,Delete,WAVL Tree,Path,922695
79,Insert,RB Tree,Rotations,587486
79,Insert,WAVL Tree,Rotations,702852
79,Insert,RB Tree,Path,1030406
79,Insert,WAVL Tree,Path,1791164
79,Delete,RB Tree,Rotations,184373
79,Delete,WAVL Tree,Rotations,223183
79,Delete,RB Tree,Path,617619
79,Delete,WAVL Tree,Path,923286
80,Insert,RB Tree,Rotations,589055
80,Insert,WAVL Tree,Rotations,703275
80,Insert,RB Tree,Path,1029694
80,Insert,WAVL Tree,Path,1789361
80,Delete,RB Tree,Rotations,184689
80,Delete,WAVL Tree,Rotations,222725
80,Delete,RB Tree,Path,617260
80,Delete,WAVL Tree,Path,921876
81,Insert,RB Tree,Rotations,586865
81,Insert,WAVL Tree,Rotations,702401
81,Insert,RB Tree,Path,1030696
81,Insert,WAVL Tree,Path,1789882
81,Delete,RB Tree,Rotations,183990
81,Delete,WAVL Tree,Rotations,223080
81,Delete,RB Tree,Path,617780
81,Delete,WAVL Tree,Path,921975
82,Insert,RB Tree,Rotations,587378
82,Insert,WAVL Tree,Rotations,702920
82,Insert,RB Tree,Path,1029868
82,Insert,WAVL Tree,Path,1790236
82,Delete,RB Tree,Rotations,183002
82,Delete,WAVL Tree,Rotations,222770
82,Delete,RB Tree,Path,616618
82,Delete,WAVL Tree,Path,922188
83,Insert,RB Tree,Rotations,588336
83,Insert,WAVL Tree,Rotations,703758
83,Insert,RB Tree,Path,1031038
83,Insert,WAVL Tree,Path,1791783
83,Delete,RB Tree,Rotations,183547
83,Delete,WAVL Tree,Rotations,223568
83,Delete,RB Tree,Path,617635
83,Delete,WAVL Tree,Path,923443
84,Insert,RB Tree,Rotations,589149
84,Insert,WAVL Tree,Rotations,702857
84,Insert,RB Tree,Path,1030600
84,Insert,WAVL Tree,Path,1790754
84,Delete,RB Tree,Rotations,184353
84,Delete,WAVL Tree,Rotations,223384
84,Delete,RB Tree,Path,617862
84,Delete,WAVL Tree,Path,922967
85,Insert,RB Tree,Rotations,588723
85,Insert,WAVL Tree,Rotations,703582
85,Insert,RB Tree,Path,1031450
85,Insert,WAVL Tree,Path,1791354
85,Delete,RB Tree,Rotations,184426
85,Delete,WAVL Tree,Rotations,223959
85,Delete,RB Tree,Path,618314
85,Delete,WAVL Tree,Path,922629
86,Insert,RB Tree,Rotations,589153
86,Insert,WAVL Tree,Rotations,704638
86,Insert,RB Tree,Path,1030890
86,Insert,WAVL Tree,Path,1791431
86,Delete,RB Tree,Rotations,183605
86,Delete,WAVL Tree,Rotations,223465
86,Delete,RB Tree,Path,617118
